year;world;energy;;
1965;1567.88608917472;oil;;
1966;1702.31627052774;oil;;
1967;1826.58817679377;oil;;
1968;1992.79060803519;oil;;
1969;2143.39944574059;oil;;
1970;2357.98007424201;oil;;
1971;2496.17320333664;oil;;
1972;2640.62557076272;oil;;
1973;2871.33165346494;oil;;
1974;2879.41368117655;oil;;
1975;2738.14162620427;oil;;
1976;2972.85618966876;oil;;
1977;3077.03622922124;oil;;
1978;3106.83608231449;oil;;
1979;3237.23203330177;oil;;
1980;3091.867091419;oil;;
1981;2913.84365640771;oil;;
1982;2799.65641358337;oil;;
1983;2763.0057027772;oil;;
1984;2818.68715688967;oil;;
1985;2796.78639564208;oil;;
1986;2941.62341546593;oil;;
1987;2952.50945112364;oil;;
1988;3074.72761291975;oil;;
1989;3108.63016945904;oil;;
1990;3175.4465911632;oil;;
1991;3165.6437826184;oil;;
1992;3195.31641532886;oil;;
1993;3194.4510550881;oil;;
1994;3243.95321631648;oil;;
1995;3286.06378318526;oil;;
1996;3384.16815884292;oil;;
1997;3485.91322018002;oil;;
1998;3550.79525111966;oil;;
1999;3486.87483266327;oil;;
2000;3617.91984577938;oil;;
2001;3617.54351009436;oil;;
2002;3600.84883429745;oil;;
2003;3733.84081877659;oil;;
2004;3904.72597179619;oil;;
2005;3941.52291296695;oil;;
2006;3961.15368590639;oil;;
2007;3948.55829269515;oil;;
2008;3988.64864139627;oil;;
2009;3885.8123834023;oil;;
2010;3975.36444834888;oil;;
2011;4008.11943139842;oil;;
2012;4116.38772828152;oil;;
2013;4126.59685988029;oil;;
2014;4220.5609167339;oil;;
1970;903.574422913489;gas;;
1971;965.882844147183;gas;;
1972;1010.93436762461;gas;;
1973;1055.0769941902;gas;;
1974;1074.07309202238;gas;;
1975;1075.14465270887;gas;;
1976;1119.01102695898;gas;;
1977;1165.41713277048;gas;;
1978;1204.12310834255;gas;;
1979;1284.27619888727;gas;;
1980;1298.53405565704;gas;;
1981;1320.3622688116;gas;;
1982;1323.13731005623;gas;;
1983;1329.16521763286;gas;;
1984;1443.17591321456;gas;;
1985;1489.15982985851;gas;;
1986;1530.40040378387;gas;;
1987;1606.80130573552;gas;;
1988;1678.33954393571;gas;;
1989;1733.94914997919;gas;;
1990;1792.74589979194;gas;;
1991;1814.43328737927;gas;;
1992;1829.94573827993;gas;;
1993;1848.50905688797;gas;;
1994;1877.29317233764;gas;;
1995;1907.48682540466;gas;;
1996;2001.50922945651;gas;;
1997;2000.3521929003;gas;;
1998;2050.66033671278;gas;;
1999;2102.86733047024;gas;;
2000;2181.07260762204;gas;;
2001;2243.11927610519;gas;;
2002;2285.19728660058;gas;;
2003;2369.52612845295;gas;;
2004;2447.00752484939;gas;;
2005;2517.96241694128;gas;;
2006;2611.0031787389;gas;;
2007;2678.91887836875;gas;;
2008;2774.02783626248;gas;;
2009;2697.53623622886;gas;;
2010;2888.60348014686;gas;;
2011;2990.29572354496;gas;;
2012;3049.85244922608;gas;;
2013;3077.56198117753;gas;;
2014;3127.28632281357;gas;;
1981;1855.45440574138;coal;;
1982;1917.74051963572;coal;;
1983;1910.2259724499;coal;;
1984;1999.64949428583;coal;;
1985;2104.40844170813;coal;;
1986;2155.50258979008;coal;;
1987;2192.72884169564;coal;;
1988;2245.99889162975;coal;;
1989;2285.83541983663;coal;;
1990;2264.53261687159;coal;;
1991;2192.80626319886;coal;;
1992;2193.33481529085;coal;;
1993;2129.22174825154;coal;;
1994;2182.05164293727;coal;;
1995;2252.42324346902;coal;;
1996;2288.99690665852;coal;;
